nid|neighborhd|place|placecode|nbr_type|po_name|metro|country|state|statefips|county|countyfips|mcd|mcdfips|cbsa|cbsacode|cbsatype|cenlat|cenlon|color|ncs_code|release|wkt
54739|Traweek Gardens|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.91338847|-95.39525286|5|40310000|1.10.2|MULTIPOLYGON(((-95.393133 29.91410496,-95.39737488 29.91404799,-95.39736984 29.91267198,-95.39313084 29.91274002,-95.39313408 29.91371103,-95.393133 29.91410496)))
54740|Fallbrook Ranch|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.91283101|-95.42638098|1|40310000|1.10.2|MULTIPOLYGON(((-95.426478 29.91278196,-95.42724192 29.91276702,-95.42719404 29.91084903,-95.42552004 29.91089502,-95.42554488 29.91481299,-95.42651688 29.91479103,-95.426478 29.91278196)))
54741|Lou Bee|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.913341985|-95.39892684|2|40310000|1.10.2|MULTIPOLYGON(((-95.39989416 29.91263598,-95.39736984 29.91267198,-95.39737488 29.91404799,-95.40048384 29.91400002,-95.40046692 29.91304998,-95.39989488 29.91305601,-95.39989416 29.91263598)))
54742|Airline Terrace|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.90968902|-95.40499536|3|40310000|1.10.2|MULTIPOLYGON(((-95.40688716 29.90917701,-95.40308484 29.90928204,-95.40340884 29.91020103,-95.40690588 29.910114,-95.40688716 29.90917701)))
54743|Shelvin Acres|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.906834535|-95.30273592|4|40000000|1.10.2|MULTIPOLYGON(((-95.30297496 29.90662704,-95.30249688 29.906631,-95.30249904 29.90704203,-95.30297496 29.90703798,-95.30297496 29.90662704)))
54744|Northfield Place|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.902570515|-95.39741646|5|40310000|1.10.2|MULTIPOLYGON(((-95.40182988 29.90660202,-95.398911 29.89843803,-95.39300304 29.89852704,-95.39306604 29.90210004,-95.39308188 29.903112,-95.39310888 29.90475801,-95.393115 29.906703,-95.40182988 29.90660202)))
54745|Trails End|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.90026197|-95.3873055|1|40310000|1.10.2|MULTIPOLYGON(((-95.38783884 29.90202498,-95.38782012 29.89849698,-95.38677216 29.89850202,-95.38679304 29.90202696,-95.38783884 29.90202498)))
54746|Eversdale|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.90024253|-95.38984746|2|40310000|1.10.2|MULTIPOLYGON(((-95.39083404 29.89855899,-95.39083512 29.89847403,-95.38883892 29.89848798,-95.38885296 29.90164797,-95.388858 29.90201103,-95.390856 29.90199303,-95.39083404 29.89855899)))
54747|Hahl Sites|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.892350475|-95.36633334|3|40310000|1.10.2|MULTIPOLYGON(((-95.36137812 29.89064304,-95.36143716 29.89080999,-95.36144796 29.89260198,-95.36127084 29.89267398,-95.36136192 29.89870497,-95.36340816 29.89870101,-95.36967216 29.89860498,-95.37139584 29.89858302,-95.37073812 29.89641897,-95.37015384 29.89377,-95.37003684 29.89361898,-95.36986008 29.89296099,-95.36973192 29.89203102,-95.36919588 29.89011303,-95.36922792 29.89005003,-95.36868396 29.88778698,-95.36697216 29.88781299,-95.36696388 29.88599598,-95.36206716 29.88606204,-95.36127804 29.88607401,-95.36129496 29.88770598,-95.361381 29.88770499,-95.36137812 29.89064304)))
54748|Helms Homesite|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.89763901|-95.4017361|4|40200000|1.10.2|MULTIPOLYGON(((-95.40483516 29.89842399,-95.40483408 29.89824696,-95.40482616 29.89677204,-95.39913312 29.89686204,-95.39913888 29.89689498,-95.398911 29.89689201,-95.39863704 29.89695303,-95.39921088 29.89850598,-95.40483516 29.89842399)))
